product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
036ed651-f8e1-4d85-a2ca-f5097da0aef1,gG9E5TcxDUPZawu0rdbhDvsPVggA8DZxuyLvckX78m2B4,27,135,10,10693,27,72,16
242f62f3-2a70-4701-b19a-29d629eccf7b,uF4vTIxeJM0WHyx430EvKU1oonEgfeOfMFdjZr3Tm4zDn,58,105,6,18152,57,55,155
1c3e1c71-28f1-4374-b3f0-7fbafc10d8cf,wBKCP6tiN7v3ypySBfrMqRd4PDD1duPhtchSyJAFH8UBb,72,460,1,5673,65,132,183
4660e944-6b8e-4eac-a248-b981af625292,1paayInjrrhC9uJWMuIe2vhVsgEN4KLw730Uh2jZyUOP2,35,208,10,2915,129,157,157
a7296216-3cd1-40a0-8024-a7223fa6bba0,rhJQ4n3sDoLM7z7XbAg66Fw1k8Xxj4CLOqKPm1D4XquGf,37,78,8,16366,180,178,90
a26e5cd3-bcfd-4896-ae9a-6f851ffcb4f3,JxfNRJhIQuNxqsNgbHGDtGxEHbIWBN2Smf1DP6tAoRjrY,95,366,9,227,101,11,153
f90c06ea-0518-4427-82e0-943ddc9e0800,MuDMj6JljxYsS72gFa7eVYgVYHDOqll3oyWqj4qp3PEz7,74,76,1,569,152,142,101
35adb609-f839-40cb-b0cd-394202e51e9a,Ycx8jaZTdx3y8o91WpKEckQMAAtmv7EUi37dnhlhqysR1,19,264,6,19908,119,155,17
5af89681-d30b-4181-933b-17eefc610f27,LSLVR2etvOjat9acn1zYlAmTkZulnCQjLa9v1UMEKxM1o,26,250,10,6555,146,187,164
ffda34af-d4f3-4b1d-9d6f-bb3029d2e804,2amsTymEbRgCPp41UOWFtUyGLRgeb0rVxw224s5rGX4AW,15,302,5,2426,184,15,184
d5020993-35aa-449c-a598-5b7625ba34cf,W06yH8dObGkv3l0narWImNrNzyhpKenJMrn8fAw0n7cbo,31,420,10,5665,183,45,44
c1bf7538-405e-475f-94f0-d0ae7592cae6,LvHBSFt12wOT9Qh5Mcf4VxTnOWEgkOtSYmeI0O18vQDgJ,43,28,2,10308,54,143,105
fda0c2bc-123d-4535-adb6-9b986333f1aa,b8qOHDRmfoWkR45T6VKuEzYRqsND9lPVDtP54qEIopXUA,71,406,1,12550,74,141,169
33387fba-e7e8-4068-8383-c551b71a8171,rUGJ8M5moyOm1Lc4sskv3Qs78yB6wYqnBhMlrPxIioIYP,78,302,3,17917,173,101,151
15c79dd9-e7f5-4831-9670-48ccda04858d,xwi47AJw4rt0NUy5yNB8O5QOrCRgJVO5rWYKmLFEHvdDl,68,64,5,8418,12,142,119
c0b8f7a9-39bb-4bf5-b156-c1f601812d5f,p7VRSeCQR0EG0UGmiANiejBWTtAqFPlrWjht79fGYK2xN,93,221,9,5647,190,70,133
16f12ece-ec1e-44c4-a269-8935ef10c374,QRHE15ZqA9BbkNvgQNr4rUpbbFFBY6MWQw8gDmChBwgAZ,56,106,8,12204,46,181,180
277646d6-da5b-4633-9eea-9b2e11db879a,oXFtaPoCEjduewNcg6lMthWeL5qcOjnvrEbC368dmo9b6,53,461,2,6866,141,85,188
549b4238-1cd4-4703-b172-a370e429f082,SBq0KD4E01rr6BovrJXOVLiFUxri1bZDPSeLyX17q7Zjo,29,373,3,16646,37,144,162
eb22c2ef-1e0f-470b-8316-95f12923066a,zSnbjK0S10HIY6wwosXfUkzRSRju9S59lyrZamjc2bzRW,83,381,10,8605,25,92,151
ac969330-4234-4808-bc66-9e5b55e5b725,qJ9AqG3FBk2on7lIeg4h1gNE38dcib5DOa8jZFH32T5NU,10,282,2,2142,192,29,170
